Method,Private957 Dice (%),Private957 HD95,Private957 ASD,HemSeg200 Dice (%),HemSeg200 HD95,HemSeg200 ASD,BHSD Dice (%),BHSD HD95,BHSD ASD,Average Dice (%),Average HD95,Average ASD,HemSeg200 Source Note
SHR-Net,80.31,32.55,11.38,76.64,107.26,15.55,46.75,125.21,34.99,67.90,88.34,20.64,main paper result
MedNeXt,79.83,53.46,15.33,67.30,236.95,39.47,36.65,328.94,93.93,61.26,206.45,49.58,main paper result
SegMamba,78.64,88.16,17.91,70.53,274.33,50.23,46.45,367.20,94.78,65.21,243.23,54.31,main paper result
DynUNet,79.12,105.68,21.41,67.68,239.65,38.46,45.31,505.58,139.98,64.04,283.64,66.62,main paper result
WNet,69.40,91.59,19.04,52.76,259.08,65.07,46.13,171.16,44.09,56.10,173.94,42.73,repaired same-domain HemSeg200 result
UXNet,57.31,491.39,117.06,64.20,294.21,52.53,45.18,464.95,107.72,55.56,416.85,92.44,main paper result
UKAN,78.90,44.89,10.93,20.29,881.22,314.48,40.79,270.51,84.11,46.66,398.87,136.50,main paper result
UNETR,47.98,596.11,156.49,50.79,440.98,110.98,39.96,330.50,93.53,46.24,455.86,120.33,main paper result
SuperLightNet,77.71,106.59,17.90,62.79,415.75,85.44,39.14,375.45,97.01,59.88,299.26,66.78,main paper result
SwinSMT,58.45,508.43,116.71,68.00,262.50,51.17,41.89,579.16,167.66,56.11,450.03,111.85,main paper result
